Fish_ID,Group,Water_Temp_C,Water_pH,Water_O2_mgL,Chlorides_mgL,Nitrites_mgL,Nitrates_mgL,Ammonium_mgL,Phosphates_mgL,Feed_Type,Bodymass_g,Protein_perc,Lipids_perc
1,AG,22.91,7.491,5.958,104.99,0.1476,1.697,0.2335,0.0816,1,1941.89,13.86,3.274
2,AG,18.88,7.391,5.701,100.5,0.1669,1.68,0.2168,0.1044,1,2009.18,12.652,3.309
3,AG,24.25,7.438,7.021,110.73,0.1482,1.521,0.2718,0.1112,1,2065.41,13.765,2.863
4,AG,24.82,7.595,6.802,82.62,0.2072,1.971,0.2564,0.1317,1,1939.24,12.168,3.244
5,AG,16.15,7.5,4.814,92.88,0.1829,1.894,0.0409,0.1096,1,1857.07,17.615,3.187
6,AG,18.09,7.551,7.847,91.3,0.1308,1.164,0.2527,0.1683,1,1682.89,18.799,3.086
7,AG,22.38,7.601,6.387,79.21,0.1305,1.139,0.1598,0.0758,1,1978.27,15.149,3.604
8,AG,21.05,7.444,5.167,103.48,0.1541,1.97,0.1347,0.0768,1,1776.13,13.523,2.676
9,AG,21.95,7.613,7.927,92.84,0.1149,1.474,0.2087,0.1266,1,1927.84,10.745,2.683
10,AG,19.44,7.557,7.251,100.92,0.175,1.921,0.2447,0.133,1,1687.52,12.096,3.254
11,AG,24.64,7.315,4.983,113.88,0.1508,2.112,0.1216,0.0818,1,1934.29,16.401,3.659
12,AG,24.33,7.716,8.633,92.17,0.1477,1.292,0.2623,0.1157,1,1787.47,12.698,3.137
13,AG,22.2,7.425,7.291,91.63,0.1606,1.235,0.2658,0.124,1,1964.45,13.508,3.3
14,AG,25.38,7.252,6.488,95.95,0.1917,2.47,0.2228,0.1243,1,1814.84,14.884,3.613
15,AG,23.4,7.343,8.408,102.9,0.1451,1.941,0.1679,0.1461,1,1847.75,17.24,3.008
16,AG,19.42,7.347,6.691,90.47,0.1366,1.632,0.1612,0.1135,1,2045.83,14.605,2.854
17,AG,23.11,7.508,6.466,89.95,0.1853,1.426,0.2816,0.1991,1,2019.94,13.057,3.545
18,AG,19.12,7.459,5.708,103.46,0.169,1.596,0.1293,0.1595,1,1994.36,15.121,3.487
19,AG,24.64,7.449,7.198,98.03,0.1304,1.324,0.2839,0.1077,1,2145.69,12.503,2.98
20,AG,21.85,7.593,7.072,78.64,0.1402,2.153,0.2101,0.1438,1,1878.94,13.512,3.207
21,AG,21.45,7.551,6.518,85.2,0.1459,1.489,0.2142,0.145,1,2121.99,14.841,3.208
22,AG,19.96,7.547,5.552,107.01,0.1509,2.237,0.1175,0.1886,1,1679.38,15.14,3.518
23,AG,25.67,7.561,6.656,98.22,0.0993,1.64,0.2112,0.116,1,2051.84,16.754,3.504
24,AG,21.54,7.592,6.416,88.9,0.0937,1.383,0.2568,0.1707,1,1873.22,14.234,3.287
25,AG,20.72,7.184,4.9,93.64,0.1134,1.629,0.1398,0.1417,1,1776.35,15.904,3.78
26,AG,20.94,7.445,4.734,95.11,0.1111,0.75,0.2499,0.1997,1,1958.3,11.593,3.449
27,AG,23.6,7.173,7.178,100.89,0.1207,1.752,0.2253,0.1916,1,2052.02,14.769,3.448
28,AG,23.1,7.505,3.5,84.13,0.159,1.732,0.1814,0.1479,1,2029.15,12.213,3.133
29,AG,23.24,7.499,6.746,88.27,0.1349,2.13,0.2713,0.1295,1,1985.16,14.17,3.127
30,AG,23.29,7.657,5.926,97.18,0.1459,1.045,0.0879,0.1603,1,1941.28,15.838,3.64
31,AG,28.42,7.678,8.07,94.2,0.1033,2.265,0.2408,0.1328,1,2089.87,13.578,3.7
32,AG,20.78,7.53,5.908,99.57,0.1262,2.128,0.3172,0.2072,1,1925.5,16.778,3.686
33,AG,20.46,7.425,7.291,85.16,0.1576,2.301,0.3064,0.1431,1,2006.98,16.075,3.303
34,AG,19.56,7.573,6.024,97.86,0.1578,1.779,0.2434,0.1238,1,1904.9,15.869,3.752
35,AG,23.85,7.421,6.636,103.73,0.1183,2.206,0.2019,0.1216,1,2027.53,15.084,3.163
36,AG,25.39,7.5,7.384,98.89,0.1448,1.212,0.1819,0.0915,1,1772.9,16.953,2.804
37,AG,21.66,7.648,5.945,96.11,0.206,2.085,0.2018,0.1623,1,1893.04,12.242,2.987
38,AG,19.48,7.416,7.696,94.23,0.1395,1.492,0.2526,0.1072,1,1747.55,16.588,2.754
39,AG,19.53,7.621,5.308,88.32,0.1192,1.139,0.1716,0.1839,1,1926.33,12.751,3.128
40,AG,23.95,7.602,6.854,94.42,0.1348,1.35,0.2654,0.0883,1,2151.2,12.728,3.28
41,AG,24.23,7.357,7.607,105.08,0.1428,1.802,0.348,0.1451,1,1885.28,14.027,3.742
42,AG,23.63,7.646,7.292,94.05,0.1355,1.47,0.2163,0.186,1,1973.09,16.014,3.951
43,AG,20.0,7.605,8.8,87.88,0.1391,1.95,0.1393,0.0539,1,2043.11,14.03,2.901
44,AG,22.7,7.515,5.584,91.06,0.0967,1.077,0.1393,0.2207,1,1680.33,13.331,4.375
45,AG,22.35,7.386,4.845,96.61,0.1111,0.949,0.2666,0.123,1,1836.71,13.083,3.349
46,AG,22.66,7.371,5.307,92.01,0.1355,2.349,0.2164,0.1456,1,1965.19,13.305,2.979
47,AG,24.61,7.419,7.293,98.88,0.135,2.162,0.2726,0.1629,1,1609.91,14.874,3.795
48,AG,22.67,7.581,7.098,99.18,0.123,1.38,0.188,0.169,1,1813.34,19.529,2.863
49,AG,24.04,7.357,6.623,102.11,0.1347,1.799,0.2698,0.151,1,2064.6,14.077,3.237
50,AG,22.2,7.566,5.152,106.39,0.1418,2.208,0.2105,0.1799,1,1998.11,12.561,3.703
51,AG,22.87,7.314,7.42,102.97,0.1667,1.968,0.176,0.1608,1,1973.21,12.833,3.28
52,AG,23.89,7.469,5.03,87.53,0.137,1.859,0.1959,0.2104,1,2049.23,13.023,3.7
53,AG,17.63,7.516,7.891,87.77,0.152,2.238,0.1482,0.1609,1,1936.29,14.31,2.627
54,AG,21.04,7.867,9.929,94.39,0.1238,1.508,0.3394,0.2186,1,2032.09,15.055,3.235
55,AG,20.59,7.293,6.94,91.39,0.1572,1.812,0.2142,0.176,1,1884.81,15.208,3.574
56,AG,20.08,7.721,7.2,85.89,0.1513,1.793,0.2587,0.0678,1,1948.16,13.602,2.911
57,AG,21.17,7.522,5.909,91.47,0.166,1.691,0.1878,0.2444,1,1838.17,17.332,3.333
58,AG,26.48,7.562,4.328,91.2,0.1614,1.644,0.1569,0.117,1,2106.34,12.285,3.278
59,AG,19.4,7.518,5.777,89.63,0.1577,1.829,0.206,0.1998,1,2078.01,14.155,3.122
60,AG,24.9,7.567,5.189,92.47,0.137,1.814,0.2861,0.1411,1,2111.09,13.683,3.715
61,AG,16.95,7.477,4.764,104.43,0.1473,1.381,0.1888,0.1824,1,1764.83,15.698,3.365
62,AG,21.0,7.718,8.567,96.59,0.1719,2.121,0.1678,0.1125,1,1824.51,17.413,2.714
63,AG,22.49,7.432,6.827,114.77,0.1204,1.409,0.2293,0.165,1,2038.57,14.601,2.754
64,AG,23.76,7.67,6.956,96.36,0.1211,1.713,0.2499,0.1299,1,2013.8,15.266,3.503
65,AG,24.13,7.403,6.129,92.68,0.1454,1.682,0.3186,0.2032,1,1989.27,11.93,3.38
66,AG,24.38,7.491,6.293,95.03,0.1525,1.943,0.2412,0.1575,1,1873.33,14.986,3.71
67,AG,20.95,7.339,7.657,97.05,0.1153,0.952,0.2586,0.1774,1,1974.76,15.53,3.077
68,AG,20.61,7.568,6.461,98.48,0.1378,2.156,0.2632,0.0534,1,1767.83,16.141,2.677
69,AG,24.57,7.717,7.137,111.61,0.1372,1.529,0.1508,0.1366,1,1998.99,12.026,3.453
70,AG,21.43,7.488,6.265,88.24,0.0735,2.288,0.1622,0.1564,1,2095.96,12.831,4.151
71,AG,18.17,7.47,6.089,101.87,0.1334,1.609,0.155,0.1489,1,2050.46,16.113,3.375
72,AG,18.6,7.333,4.812,96.66,0.1353,1.78,0.1401,0.1784,1,1938.75,10.531,3.404
73,AG,19.24,7.466,4.127,82.43,0.1352,2.566,0.2677,0.1254,1,1720.88,13.907,3.405
74,AG,23.49,7.261,6.186,101.17,0.1825,1.689,0.2374,0.142,1,1945.46,15.449,2.841
75,AG,22.43,7.363,6.568,105.14,0.1035,2.296,0.2248,0.1872,1,2161.55,12.962,3.19
76,AG,24.07,7.534,4.957,88.14,0.1153,1.816,0.0644,0.0489,1,1838.62,13.762,2.568
77,AG,20.72,7.698,6.459,94.93,0.0616,1.966,0.3433,0.1636,1,1901.08,11.225,3.944
78,AG,22.48,7.921,6.565,81.2,0.1256,1.828,0.1663,0.1266,1,2134.8,13.615,3.773
79,AG,23.88,7.412,3.913,84.93,0.1281,2.139,0.3431,0.1035,1,2006.95,11.161,3.656
80,AG,21.07,7.715,5.402,103.38,0.1247,1.526,0.133,0.1535,1,2173.05,13.397,3.446
81,AG,23.37,7.537,6.989,91.27,0.1732,1.406,0.1713,0.1891,1,1869.16,13.531,2.985
82,AG,20.01,7.477,6.964,86.13,0.1658,1.545,0.0878,0.1816,1,1810.54,15.256,3.174
83,AG,20.91,7.565,5.116,96.84,0.1423,1.84,0.2417,0.1346,1,2032.47,13.134,3.873
84,AG,20.85,7.509,6.69,90.82,0.1289,1.712,0.1539,0.175,1,1780.05,17.563,3.387
85,AG,18.41,7.517,7.727,91.23,0.1708,2.084,0.1556,0.1747,1,1885.16,15.013,2.885
86,AG,23.46,7.439,7.432,100.91,0.1394,2.322,0.1376,0.1365,1,1932.85,15.398,2.786
87,AG,20.59,7.29,6.386,85.71,0.1155,1.41,0.2666,0.1123,1,2052.94,12.843,3.602
88,AG,22.04,7.268,5.938,87.76,0.0885,1.506,0.2627,0.1146,1,2007.85,12.391,3.337
89,AG,23.44,7.598,5.745,96.23,0.1268,1.226,0.3287,0.1735,1,1981.74,10.145,3.05
90,AG,23.34,7.458,7.061,102.76,0.1626,2.612,0.1789,0.1383,1,1880.82,12.196,3.029
91,AG,24.0,7.411,6.734,104.91,0.2083,1.922,0.2331,0.0982,1,2072.5,12.343,2.8
92,AG,21.7,7.501,7.255,89.68,0.1418,1.992,0.1426,0.0726,1,2400.0,15.278,2.987
93,AG,20.73,7.619,6.658,102.5,0.117,1.264,0.1999,0.1733,1,1975.34,15.943,3.418
94,AG,21.76,7.527,7.483,88.73,0.1045,1.8,0.1889,0.1181,1,1963.51,11.839,3.054
95,AG,16.94,7.402,6.614,109.61,0.1566,2.004,0.2479,0.1532,1,1672.69,13.758,3.245
96,AG,17.66,7.684,7.442,85.93,0.0871,1.699,0.281,0.1896,1,1832.21,12.122,3.226
97,AG,18.03,7.737,7.545,105.63,0.1565,2.23,0.2795,0.0876,1,1839.84,14.127,3.125
98,AG,19.01,7.574,5.535,89.75,0.1645,2.725,0.1694,0.1382,1,1822.6,16.237,3.058
99,AG,23.2,7.646,4.33,111.11,0.1531,1.421,0.2799,0.1332,1,1863.65,12.088,4.429
100,AG,19.28,7.686,8.352,99.73,0.1334,1.391,0.2174,0.1552,1,2120.72,14.966,2.885
101,AG,20.87,7.67,6.808,86.87,0.1569,1.449,0.2005,0.1896,1,2084.99,16.742,3.07
102,AG,25.9,7.592,4.443,90.82,0.1451,2.442,0.1775,0.0868,1,1931.3,13.94,3.233
103,AG,20.93,7.59,5.643,101.25,0.1167,2.217,0.1864,0.1628,1,1737.71,12.915,3.355
104,AG,24.21,7.578,7.426,103.42,0.1955,1.746,0.3245,0.1813,1,2103.88,13.813,2.893
105,AG,19.2,7.335,6.164,94.43,0.1294,1.815,0.2384,0.1325,1,1880.88,12.852,3.251
106,AG,21.38,7.605,5.886,95.36,0.1633,1.473,0.2305,0.1345,1,1699.31,14.597,2.699
107,AG,19.15,7.297,8.181,101.07,0.0674,2.156,0.2043,0.1567,1,1985.34,15.541,3.212
108,AG,20.98,7.381,5.243,96.05,0.1783,1.648,0.3668,0.1538,1,2013.39,10.724,2.928
109,AG,24.52,7.696,5.542,84.65,0.1841,1.696,0.2983,0.1633,1,1674.65,13.294,3.427
110,AG,16.82,7.626,6.754,88.5,0.1409,2.044,0.1767,0.1625,1,1782.93,14.96,3.226
111,AG,23.3,7.723,6.969,96.88,0.1568,1.725,0.2036,0.1007,1,1928.71,15.115,3.899
112,AG,22.71,7.459,7.096,104.72,0.1568,1.706,0.2071,0.1796,1,2005.32,15.632,3.075
113,AG,20.22,7.327,7.593,107.93,0.1207,1.804,0.2288,0.1867,1,1824.8,15.221,3.239
114,AG,17.66,7.464,6.738,101.24,0.1564,2.118,0.1779,0.1474,1,1760.07,14.643,2.811
115,AG,22.22,7.515,7.087,97.3,0.1157,2.459,0.2463,0.0802,1,2016.92,15.323,2.872
116,AG,20.41,7.512,6.189,100.99,0.1217,2.034,0.3071,0.1354,1,1829.1,12.059,3.039
117,AG,22.7,7.67,6.575,89.67,0.1738,2.121,0.1412,0.1478,1,2011.89,12.836,3.566
118,AG,22.07,7.446,6.629,93.77,0.1692,1.72,0.1523,0.0942,1,1796.41,10.007,2.976
119,AG,26.81,7.553,6.758,88.41,0.1188,1.517,0.191,0.1256,1,1839.74,13.609,4.241
120,AG,21.28,7.352,7.427,85.01,0.118,2.062,0.1938,0.0836,1,2044.9,13.353,3.181
121,AG,18.93,7.568,7.166,97.67,0.1206,1.868,0.3399,0.1643,1,1920.78,14.217,2.871
122,AG,22.54,7.5,6.553,96.48,0.162,1.231,0.2801,0.1466,1,2038.23,10.701,3.215
123,AG,22.66,7.388,5.529,100.5,0.11,1.669,0.2767,0.0742,1,1839.69,12.082,3.034
124,AG,26.08,7.465,6.581,99.37,0.1507,1.767,0.2041,0.1541,1,1867.81,14.5,3.814
125,AG,24.51,7.472,6.466,96.94,0.1624,1.596,0.2028,0.1377,1,2111.99,12.467,2.931
126,AG,23.07,7.459,6.732,99.45,0.1374,2.393,0.1329,0.1607,1,1746.44,15.325,3.019
