experiment,feature,importance
R1_Water→Protein,Water_Temp_C,0.41884793580120244
R1_Water→Protein,Ammonium_mgL,0.14844400409686648
R1_Water→Protein,Water_O2_mgL,0.10482641311567673
R1_Water→Protein,Group_enc,0.06581079756675612
R1_Water→Protein,Nitrites_mgL,0.05460950679169246
R1_Water→Protein,Feed_Type,0.04772470096275059
R1_Water→Protein,Chlorides_mgL,0.045109028138127755
R1_Water→Protein,Phosphates_mgL,0.04102591400438609
R1_Water→Protein,Nitrates_mgL,0.03702905201815375
R1_Water→Protein,Water_pH,0.0365726475043876
R2_Water→Lipids,Group_enc,0.4551864714811081
R2_Water→Lipids,Feed_Type,0.442809829981715
R2_Water→Lipids,Water_Temp_C,0.03685458234691473
R2_Water→Lipids,Phosphates_mgL,0.02110732824579875
R2_Water→Lipids,Water_O2_mgL,0.018043316886861158
R2_Water→Lipids,Nitrites_mgL,0.0068039306626995425
R2_Water→Lipids,Ammonium_mgL,0.005647065049315649
R2_Water→Lipids,Chlorides_mgL,0.004654961099258305
R2_Water→Lipids,Nitrates_mgL,0.00446784548474132
R2_Water→Lipids,Water_pH,0.004424668761587547
R3_Water→Bodymass,Group_enc,0.41802250873427077
R3_Water→Bodymass,Feed_Type,0.35744103368386065
R3_Water→Bodymass,Water_Temp_C,0.05314329199117602
R3_Water→Bodymass,Chlorides_mgL,0.03564299479493051
R3_Water→Bodymass,Water_O2_mgL,0.03248359595235796
R3_Water→Bodymass,Phosphates_mgL,0.02358871827288658
R3_Water→Bodymass,Ammonium_mgL,0.022452186952322616
R3_Water→Bodymass,Nitrates_mgL,0.021003518209803625
R3_Water→Bodymass,Nitrites_mgL,0.019166591838844102
R3_Water→Bodymass,Water_pH,0.01705555956954714
R4_All→Protein,Water_Temp_C,0.2855369431283452
R4_All→Protein,Ammonium_mgL,0.09992548143468805
R4_All→Protein,fa_C16:1,0.0820428140105814
R4_All→Protein,Water_O2_mgL,0.0578311449721046
R4_All→Protein,fa_C20:4n-6,0.05218008285624929
R4_All→Protein,fa_C20:3n-3,0.02101770299618729
R4_All→Protein,fa_C14:0,0.020996492398361193
R4_All→Protein,fa_C20:1n-9,0.018619277032441442
R4_All→Protein,Nitrites_mgL,0.01064014514249427
R4_All→Protein,chem_Ash (%)_day6,0.009260821115223692
R5_All→Lipids,fa_C22:0,0.18414342039614473
R5_All→Lipids,fa_C20:1n-9,0.17192121341734584
R5_All→Lipids,Group_enc,0.1479963353092849
R5_All→Lipids,fa_C14:0,0.142346289635237
R5_All→Lipids,Feed_Type,0.09434552389074256
R5_All→Lipids,fa_C18:3n-3,0.0419349523407101
R5_All→Lipids,fa_C20:3n-3,0.04190550426371883
R5_All→Lipids,fa_C20:4n-6,0.036660484862702715
R5_All→Lipids,Water_Temp_C,0.031033515588967924
R5_All→Lipids,fa_C16:0,0.018196184971490555
C1_Water→Group,Feed_Type,0.4544915931518515
C1_Water→Group,Water_Temp_C,0.2648090483344778
C1_Water→Group,Chlorides_mgL,0.1065908150249446
C1_Water→Group,Water_O2_mgL,0.07173116259513299
C1_Water→Group,Phosphates_mgL,0.046015060705437365
C1_Water→Group,Nitrites_mgL,0.029227971290283178
C1_Water→Group,Nitrates_mgL,0.014684498655633527
C1_Water→Group,Ammonium_mgL,0.011633643364755171
C1_Water→Group,Water_pH,0.0008162068774838951
C2_FA→Group,fa_C16:0,0.16102658079336238
C2_FA→Group,fa_C14:0,0.16040970106036595
C2_FA→Group,fa_C20:1n-9,0.12716192918305133
C2_FA→Group,fa_C22:0,0.10382169675934759
C2_FA→Group,fa_C18:3n-3,0.10031795096724558
C2_FA→Group,fa_C20:4n-6,0.09560959039441126
C2_FA→Group,fa_C20:3n-3,0.08326324981906454
C2_FA→Group,fa_C18:2n-6,0.06520123902633297
C2_FA→Group,fa_C16:1,0.04310497744112863
C2_FA→Group,fa_PUFA/SFA,0.03873665930537338
C3_All→Group,fa_C16:0,0.10600252084912543
C3_All→Group,fa_C20:3n-3,0.0978781584956526
C3_All→Group,fa_C18:3n-3,0.08693723266006294
C3_All→Group,fa_C22:0,0.0791846378379098
C3_All→Group,fa_C20:4n-6,0.07528089377512953
C3_All→Group,fa_C14:0,0.07118758929040801
C3_All→Group,fa_C20:1n-9,0.06461867358697214
C3_All→Group,fa_C16:1,0.05735359442553714
C3_All→Group,Feed_Type,0.05360458912697226
C3_All→Group,chem_Lipids (%)_day15,0.03672805313698281
