Storage Period (Days),n,Group,Ash (%) : Mean ± SEM,Proteins (%) : Mean ± SEM,Lipids (%) : Mean ± SEM
0,6,AG,1.07 ± 0.00,17.75 ± 1.08,3.38 ± 0.22
0,6,RG,1.11 ± 0.04,18.08 ± 1.27,2.62 ± 0.16
p-value,,,0.0782,0.7320,0.0373
3,6,AG,1.05 ± 0.02,16.65 ± 0.82,3.31 ± 0.18
3,6,RG,1.08 ± 0.04,17.01 ± 0.89,2.77 ± 0.13
p-value,,,0.0836,0.6592,0.0459
6,6,AG,1.05 ± 0.05,15.21 ± 0.75,3.04 ± 0.16
6,6,RG,1.07 ± 0.04,16.22 ± 0.92,2.42 ± 0.12
p-value,,,0.0919,0.3182,0.0428
9,6,AG,1.03 ± 0.08,13.85 ± 0.72,2.87 ± 0.23
9,6,RG,1.04 ± 0.05,14.05 ± 0.76,2.15 ± 0.14
p-value,,,0.1305,0.7855,0.0285
12,6,AG,1.02 ± 0.07,13.04 ± 0.71,2.56 ± 0.24
12,6,RG,1.03 ± 0.09,13.85 ± 0.92,1.98 ± 0.12
p-value,,,0.1287,0.4348,0.0319
15,6,AG,1.00 ± 0.10,12.84 ± 0.56,2.38 ± 0.13
15,6,RG,1.01 ± 0.07,13.53 ± 1.02,1.86 ± 0.10
p-value,,,0.1149,0.4817,0.0402
